,City ID,City,Country,Lat,Lon,Date (UTC),Clouds (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,3038789,Abbeville,FR,50.1,1.83,1600268812,100,64,78.01,30.713135261700003
1,292968,Abu Dhabi,AE,24.47,54.37,1600268514,99,29,100.4,15.5019684897
2,1732356,Abucay,PH,14.77,120.48,1600268813,40,88,78.8,12.661059401400001
3,3533462,Acapulco de Juárez,MX,16.86,-99.89,1600268813,90,88,80.6,5.010737289600001
4,2448083,Agadez,NE,19.75,10.25,1600268813,33,10,103.24,9.0595919745
5,2194098,Ahipara,NZ,-35.17,173.17,1600268813,0,89,51.82,5.4133858218
6,5856516,‘Āhuimanu,US,21.44,-157.84,1600268813,40,69,78.8,13.018969207800001
7,1651810,Airai,TL,-8.93,125.41,1600268814,66,95,57.02,5.0554760154
8,5882953,Aklavik,CA,68.22,-135.01,1600268536,75,80,33.8,15.5019684897
9,3569379,Alacranes,CU,22.77,-81.57,1600268814,20,83,82.4,15.5019684897
10,5322745,Alameda,US,37.6,-121.88,1600268553,90,93,64.0,10.513600563
11,5106841,Albany,US,42.6,-73.97,1600268598,0,65,61.0,13.2650321997
12,2022083,Alekseyevsk,RU,57.84,108.35,1600268815,0,77,45.43,8.5674659907
13,2077895,Alice Springs,AU,-23.7,133.88,1600268815,72,22,78.8,18.007337134500002
14,4036284,Alofi,NU,-19.06,-169.92,1600268815,75,88,69.8,31.0263063423
15,1278969,Along,IN,28.17,94.77,1600268815,100,89,72.23,1.5434860401
16,1529651,Altay,CN,47.87,88.12,1600268815,7,42,57.4,11.1623120871
17,1731248,Alugan,PH,12.22,125.48,1600268816,100,84,80.1,23.622047222400003
18,2079582,Alyangula,AU,-13.85,136.42,1600268816,100,88,73.4,15.1664280462
19,245338,Am Timan,TD,11.03,20.28,1600268528,36,70,87.55,4.7646742977
20,1083724,Ambanja,MG,-13.68,48.45,1600268816,22,79,75.54,8.4108804504
21,1082243,Ambilobe,MG,-13.2,49.05,1600268816,34,64,76.19,10.1556907566
22,1079048,Ambovombe,MG,-25.17,46.08,1600268817,0,81,70.16,19.6179312633
23,1078553,Ampanihy,MG,-24.7,44.75,1600268817,0,34,82.17,19.908732981
24,3899695,Ancud,CL,-41.87,-73.82,1600268599,98,86,46.0,40.3319613087
25,1052944,Angoche,MZ,-16.23,39.91,1600268817,0,71,77.13,30.713135261700003
26,1071296,Antalaha,MG,-14.9,50.28,1600268817,22,75,71.49,23.622047222400003
27,3899539,Antofagasta,CL,-23.65,-70.4,1600268818,90,67,57.2,18.007337134500002
28,3471848,Aracruz,BR,-19.82,-40.27,1600268818,75,88,77.0,20.5127057793
29,2460954,Araouane,ML,18.9,-3.53,1600268818,0,8,110.23,39.3253399782
30,6621469,Arrondissement d'Arcachon,FR,44.59,-1.05,1600268818,2,38,91.4,28.5209376975
31,143083,Ardabil,IR,38.25,48.29,1600268818,40,77,66.2,36.0370436319
32,3407194,Areia Branca,BR,-4.96,-37.14,1600268819,40,30,96.8,18.007337134500002
33,3471451,Arraial do Cabo,BR,-22.97,-42.03,1600268819,40,69,80.6,25.5234430689
34,686090,Asău,RO,46.43,26.4,1600268819,7,55,75.99,11.9005010628
35,2537881,Safi,MA,32.3,-9.24,1600268819,100,80,72.09,16.7546528121
36,359783,Assiut,EG,27.18,31.18,1600268819,0,28,96.8,20.5127057793
37,1528796,At-Bashi,KG,41.17,75.81,1600268820,2,41,54.12,10.1109520308
38,1651103,Atambua,ID,-9.11,124.89,1600268820,62,87,69.76,7.247673579600001
39,2381334,Atar,MR,20.52,-13.05,1600268820,0,13,107.22,14.763779514
40,1526041,Atasū,KZ,48.68,71.64,1600268820,58,36,56.48,29.728883294099997
41,4020109,Atuona,PF,-9.8,-139.03,1600268821,1,77,77.47,48.6981030333
42,3406961,Augusto Corrêa,BR,-1.02,-46.63,1600268821,27,53,89.17,23.0180744241
43,2109701,Auki,SB,-8.77,160.7,1600268821,92,86,78.15,11.699176796700002
44,4035715,Avarua,CK,-21.21,-159.78,1600268822,100,78,71.6,7.5161059344
45,4231997,Avera,US,33.19,-82.53,1600268822,90,88,68.0,25.5234430689
46,3946937,Azángaro,PE,-14.92,-70.22,1600268822,43,46,52.3,2.3487831045000003
47,5889745,Baie-Comeau,CA,49.22,-68.15,1600268822,90,100,44.6,18.007337134500002
48,2252606,Bakel,SN,14.9,-12.46,1600268822,6,38,99.18,27.2235146493
49,1728675,Balabac,PH,7.99,117.06,1600268823,100,82,81.43,37.6700071236
50,161616,Balkanabat,TM,39.51,54.37,1600268823,0,28,76.68,26.4629563107
51,141736,Bam,IR,29.11,58.36,1600268823,0,17,76.08,29.728883294099997
52,1106677,Bambous Virieux,MU,-20.34,57.76,1600268823,75,60,71.6,25.5234430689
53,3512067,Baní,DO,18.28,-70.33,1600268824,20,74,88.0,15.5019684897
54,2656391,Bankfoot,GB,56.5,-3.5,1600268824,72,78,57.0,8.94774516
55,2038446,Baoqing,CN,46.33,132.21,1600268824,100,87,58.37,23.8233714885
