,City ID,City,Country,Lat,Lon,Date (UTC),Clouds (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,292968,Abu Dhabi,AE,24.47,54.37,1600197875,1,66,89.6,7.5161059344
1,174448,Abu Kamal,SY,34.45,40.92,1600197875,0,20,89.58,16.7546528121
2,172515,Abu Samrah,SY,35.3,37.18,1600197875,0,33,77.5,15.1216893204
3,3533462,Acapulco de Juárez,MX,16.86,-99.89,1600197876,75,74,84.2,18.007337134500002
4,3408368,Acaraú,BR,-2.89,-40.12,1600197876,46,60,83.32,48.988904751
5,1279344,Adilabad,IN,19.67,78.53,1600197876,100,85,78.78,2.3487831045000003
6,2381972,Adrar,MR,20.5,-10.07,1600197877,84,11,106.0,13.0637079336
7,344661,Āgaro,ET,7.85,36.65,1600197877,100,85,62.15,3.2435576205
8,2194098,Ahipara,NZ,-35.17,173.17,1600197877,25,80,55.71,25.165533262500002
9,1651810,Airai,TL,-8.93,125.41,1600197877,5,87,53.62,6.9121331361
10,461602,Aizpute,LV,56.72,21.6,1600197877,100,100,57.2,5.010737289600001
11,5882953,Aklavik,CA,68.22,-135.01,1600197878,20,75,42.8,25.5234430689
12,1512019,Aksarka,RU,66.56,67.8,1600197878,99,89,47.55,5.6594488137
13,1529660,Aksu,CN,41.12,80.26,1600197878,6,33,67.37,15.904617021900002
14,5106841,Albany,US,42.6,-73.97,1600197878,0,46,63.0,4.496241942899999
15,582956,Alekseyevka,RU,50.63,38.69,1600197878,47,77,61.21,16.7546528121
16,361058,Alexandria,EG,31.22,29.96,1600197853,40,65,80.6,20.5127057793
17,2743076,Alhadas,PT,40.19,-8.79,1600197879,39,77,75.0,13.018969207800001
18,582447,Almaznyy,RU,48.04,40.05,1600197879,0,45,68.0,15.0098425059
19,4036284,Alofi,NU,-19.06,-169.92,1600197879,78,83,75.2,41.0254115586
20,1529651,Altay,CN,47.87,88.12,1600197879,100,41,53.28,5.2120615557
21,3472440,Alto Paraná,BR,-23.13,-52.32,1600197879,65,37,86.0,36.0370436319
22,1731248,Alugan,PH,12.22,125.48,1600197880,100,93,78.58,30.1315318263
23,2079582,Alyangula,AU,-13.85,136.42,1600197880,40,100,62.6,16.8664996266
24,3407762,Amapá,BR,1.0,-52.0,1600197880,25,33,95.16,10.7596635549
25,1083724,Ambanja,MG,-13.68,48.45,1600197880,49,77,73.74,2.7066929109
26,1082243,Ambilobe,MG,-13.2,49.05,1600197610,98,66,74.3,17.4033643362
27,1621313,Ambulu,ID,-8.35,113.61,1600197881,100,87,70.83,5.5028632734
28,2027786,Amga,RU,60.9,131.96,1600197881,74,93,39.61,5.6147100879
29,2127202,Anadyr,RU,64.75,177.48,1600197881,40,100,42.8,30.0196850118
30,3899695,Ancud,CL,-41.87,-73.82,1600197882,100,69,52.0,4.4515032171
31,1076454,Andapa,MG,-14.65,49.65,1600197882,95,91,63.5,2.7066929109
32,1071296,Antalaha,MG,-14.9,50.28,1600197717,16,84,67.84,21.161417303400004
33,3899539,Antofagasta,CL,-23.65,-70.4,1600197724,20,67,60.8,33.531674987100004
34,1068971,Antsohihy,MG,-14.88,47.99,1600197882,0,82,69.19,9.014853248700001
35,1511494,Anzhero-Sudzhensk,RU,56.08,86.03,1600197882,87,87,46.4,5.010737289600001
36,6542092,Anzio,IT,41.49,12.62,1600197883,5,69,81.0,7.5161059344
37,3358666,Aranos,NA,-24.13,19.12,1600197671,0,26,59.88,14.316392256
38,3665202,Aripuanã,BR,-9.17,-60.63,1600197883,6,11,106.9,10.1109520308
39,2027487,Arkhara,RU,49.42,130.08,1600197884,100,92,53.29,9.4622405067
40,2447513,Arlit,NE,18.74,7.39,1600197884,0,9,102.78,41.9425554375
41,2127060,Arman',RU,59.7,150.17,1600197884,74,74,45.32,14.3611309818
42,3471451,Arraial do Cabo,BR,-22.97,-42.03,1600197884,40,78,75.2,33.531674987100004
43,686090,Asău,RO,46.43,26.4,1600197885,98,60,68.0,7.5161059344
44,2537881,Safi,MA,32.3,-9.24,1600197885,99,77,72.19,31.6750178664
45,343292,Āsosa,ET,10.07,34.53,1600197885,100,98,62.73,3.0422333544000004
46,359792,Aswān,EG,24.09,32.91,1600197885,0,16,92.44,22.4588403516
47,359783,Assiut,EG,27.18,31.18,1600197886,0,38,87.8,25.5234430689
48,1651103,Atambua,ID,-9.11,124.89,1600197886,83,83,67.03,10.6478167404
49,2381334,Atar,MR,20.52,-13.05,1600197886,5,14,104.27,14.1150679899
50,5888001,Atikokan,CA,48.76,-91.62,1600197886,100,63,64.53,17.1125626185
51,4020109,Atuona,PF,-9.8,-139.03,1600197887,1,77,78.13,36.0817823577
52,3036278,Auchel,FR,50.5,2.47,1600197887,100,57,78.8,10.513600563
53,4035715,Avarua,CK,-21.21,-159.78,1600197678,50,78,73.4,25.5234430689
54,4231997,Avera,US,33.19,-82.53,1600197887,90,69,78.8,23.0180744241
55,2027316,Ayan,RU,56.45,138.17,1600197887,100,91,53.64,2.9974946286
56,2027296,Aykhal,RU,66.0,111.5,1600197888,2,81,44.6,8.8135289826
57,751335,Bafra,TR,41.57,35.91,1600197888,40,78,73.4,20.5127057793
58,1729181,Baganga,PH,7.57,126.56,1600197888,100,78,77.74,17.224409433
59,2027244,Bagdarin,RU,54.43,113.6,1600197888,0,77,38.86,6.1515747975
60,98182,Baghdad,IQ,33.34,44.4,1600197652,0,21,91.4,15.5019684897
61,162158,Baharly,TM,38.44,57.43,1600197888,0,35,73.9,12.4597351353
62,5889745,Baie-Comeau,CA,49.22,-68.15,1600197668,1,66,50.0,49.0336434768
63,1529626,Baijiantan,CN,45.63,85.18,1600197889,0,34,69.46,14.0703292641
64,161616,Balkanabat,TM,39.51,54.37,1600197889,0,37,71.56,18.2534001264
65,1106677,Bambous Virieux,MU,-20.34,57.76,1600197889,75,88,64.4,10.513600563
66,1215502,Banda Aceh,ID,5.56,95.32,1600197890,100,73,80.19,29.08017177
67,3512067,Baní,DO,18.28,-70.33,1600197890,40,62,91.0,31.0263063423
68,171830,Bāniyās,SY,35.18,35.95,1600197890,40,83,80.6,15.5019684897
69,342711,Barentu,ER,15.11,37.59,1600197891,22,67,77.85,6.71080887
70,2027109,Barguzin,RU,53.62,109.62,1600197891,3,80,41.68,4.9436292009
71,3470718,Barra do Bugres,BR,-15.07,-57.18,1600197891,0,14,104.58,6.9121331361
72,5880054,Barrow,US,71.29,-156.79,1600197891,90,84,35.6,54.0443807664
73,2032614,Baruun-Urt,MN,46.68,113.28,1600197891,100,81,45.9,24.6286685529
74,1726449,Basco,PH,20.45,121.97,1600197892,100,80,84.33,37.9384394784
75,2176639,Batemans Bay,AU,-35.72,150.18,1600197892,0,97,48.0,2.2593056529
76,3374083,Bathsheba,BB,13.22,-59.52,1600197892,40,70,87.8,36.0370436319
77,342641,Batī,ET,11.18,40.02,1600197892,72,58,70.99,20.020579795499998
78,2038421,Bayan,CN,46.08,127.4,1600197893,100,59,66.0,29.773622019900003
79,1510689,Baykit,RU,61.67,96.37,1600197893,100,84,48.07,6.1068360717
80,2303236,Begoro,GH,6.39,-0.38,1600197893,100,97,71.64,6.5989620555
81,1052373,Beira,MZ,-19.84,34.84,1600197893,75,88,75.2,31.0263063423
82,712515,Beloye,UA,48.5,39.05,1600197893,0,56,62.64,10.9162490952
83,5713587,Bend,US,44.06,-121.32,1600197703,1,21,75.99,6.8450250474
84,1649150,Bengkulu,ID,-3.8,102.27,1600197894,43,91,74.73,9.753042224400001
85,64435,Berbera,SO,10.44,45.01,1600197894,0,50,93.06,5.2568002815
86,2126710,Beringovskiy,RU,63.05,179.32,1600197894,100,92,46.72,22.816750157999998
87,780687,Berlevåg,NO,70.86,29.09,1600197894,40,93,41.0,13.018969207800001
88,5282297,Bethel,US,41.37,-73.41,1600197739,0,52,64.99,10.3570150227
89,1510131,Beya,RU,53.05,90.91,1600197895,26,81,47.21,7.8069076521000005
90,1276067,Bhatkal,IN,13.97,74.57,1600197895,85,85,78.04,9.663564772800001
91,2026696,Bikin,RU,46.82,134.26,1600197895,100,90,53.04,3.9593772333
92,2206939,Bluff,NZ,-46.6,168.33,1600197895,100,79,44.01,33.5764137129
93,606531,Boden,SE,65.83,21.69,1600197896,100,87,48.2,7.5161059344
94,2422968,Boffa,GN,10.17,-14.03,1600197896,100,91,77.13,15.457229763900001
95,3405304,Bom Jesus,BR,-9.07,-44.36,1600197896,75,20,96.89,21.1166785776
96,5905393,Bonavista,CA,48.65,-53.11,1600197631,63,56,56.91,27.4248389154
97,3418076,Borgarnes,IS,64.54,-21.92,1600197896,75,75,46.4,15.5019684897
98,2026160,Borogontsy,RU,62.67,131.17,1600197897,96,90,41.56,3.802791693
99,64013,Bosaso,SO,11.28,49.18,1600197897,0,43,93.61,10.513600563
100,6457397,Bose,IT,45.46,8.01,1600197897,100,83,73.0,11.2070508129
101,2126493,Boshnyakovo,RU,49.63,142.17,1600197898,100,86,55.4,15.9717251106
102,2290849,Bouna,CI,9.27,-3.0,1600197898,34,90,76.01,12.303149595
103,1648082,Boyolangu,ID,-8.12,111.89,1600197898,98,88,70.99,2.5053686448000003
104,2654970,Brae,GB,60.4,-1.35,1600197898,100,87,50.0,36.0370436319
105,1015776,Bredasdorp,ZA,-34.53,20.04,1600197898,8,87,50.0,7.5161059344
106,2173911,Broken Hill,AU,-31.95,141.43,1600197899,0,35,57.2,23.0180744241
107,5110365,Broome,US,42.25,-75.83,1600197899,0,47,64.99,2.2593056529
108,2374583,Bubaque,GW,11.28,-15.83,1600197899,62,83,81.09,31.7197565922
109,2278158,Buchanan,LR,5.88,-10.05,1600197900,75,94,77.0,13.018969207800001
110,217834,Bukama,CD,-9.2,25.85,1600197900,46,43,82.81,7.113457402200001
111,3491161,Bull Savanna,JM,17.89,-77.59,1600197900,86,71,83.98,14.8532569656
112,234178,Bundibugyo,UG,0.74,30.04,1600197900,13,87,68.05,7.0016105877
113,2075265,Busselton,AU,-33.65,115.33,1600197901,43,79,52.0,25.5234430689
114,2110227,Butaritari,KI,3.07,172.79,1600197688,100,74,83.46,45.5440228644
115,3985710,Cabo San Lucas,MX,22.89,-109.91,1600197644,20,66,90.0,13.018969207800001
116,2172797,Cairns,AU,-16.92,145.77,1600197816,75,83,69.8,25.5234430689
117,3531816,Calderitas,MX,18.55,-88.25,1600197901,40,74,87.8,21.2732641179
118,2270385,Camacha,PT,33.08,-16.33,1600197901,40,73,73.4,10.513600563
119,3369157,Cape Town,ZA,-33.93,18.42,1600197812,20,81,55.0,15.5019684897
120,3466980,Caravelas,BR,-17.71,-39.25,1600197902,0,70,78.67,17.9178596829
121,3466950,Carinhanha,BR,-14.3,-43.77,1600197608,0,25,92.75,22.9285969725
122,5334223,Carlsbad,US,33.16,-117.35,1600197733,1,51,91.0,23.0180744241
123,2074865,Carnarvon,AU,-24.87,113.63,1600197903,0,100,66.2,33.531674987100004
124,4015076,Casas Grandes,MX,30.37,-107.95,1600197903,96,66,72.0,2.2593056529
