,Hotel Name,Lat,Lon,City,Country
0,Grand Ramela Hotel,0.5119625,25.1725477,Kisangani,Democratic Republic of the Congo
1,Hotel Cordial,51.0995138,8.0699139,Lennestadt,Germany
2,ibis Styles Mt Isa Verona,-20.72614009999999,139.4928025,Mount Isa,Australia
3,Hospedaje Las Violetas,-32.1706443,-64.1276845,Río Tercero,Argentina
