,Hotel Name,Lat,Lon,City,Country
0,Casa Maquia,40.1723115,-8.3388513,Eira do Povo,Portugal
1,易家国际青年旅舍,34.684254,112.48255,Luoyang,China
2,ibis Styles Mt Isa Verona,-20.72614009999999,139.4928025,Mount Isa,Australia
3,برق خودرو کولر مجید,36.6483043,53.2988862,No. جنب,Iran
4,Hospedaje Las Violetas,-32.1706443,-64.1276845,Río Tercero,Argentina
